winner,blue_wins,red_wins,Draw
Blue,10,6,
Red,4,7,
Red,9,8,
Blue,19,20,
Blue,2,4,
Red,3,3,
Blue,1,1,
Red,3,7,
Red,17,11,
Red,2,5,
Red,2,4,
Red,14,8,
Red,4,4,
Blue,7,19,
Red,4,10,
Blue,1,3,
Red,1,1,
Red,1,3,
Red,2,2,
Blue,4,2,
Red,0,3,
Blue,3,19,
Blue,0,8,
Red,1,0,
Blue,1,2,
Red,0,0,
Blue,4,0,
Blue,2,5,
Blue,0,1,
Blue,1,1,
Red,3,9,
Draw,4,1,
Draw,11,8,
Red,5,14,
Red,9,12,
Red,1,6,
Red,3,0,
Blue,10,12,
Blue,1,4,
Red,0,2,
Red,3,5,
Blue,7,4,
Red,2,2,
Red,2,0,
Red,13,8,
Red,1,1,
Red,3,0,
Blue,3,3,
Red,0,3,
Red,6,5,
Red,1,2,
Blue,0,3,
Blue,5,4,
Red,3,5,
Blue,5,6,
Blue,4,3,
Blue,15,12,
Blue,2,5,
Red,2,5,
Blue,1,1,
Red,6,4,
Red,3,7,
Red,2,1,
Red,1,12,
Blue,2,2,
Red,4,2,
Blue,0,2,
Red,0,3,
Red,2,2,
Red,0,2,
Red,0,6,
Red,1,7,
Red,12,2,
Red,4,5,
Red,1,5,
Blue,0,4,
Blue,0,0,
Red,2,0,
Red,2,5,
Red,0,3,
Blue,1,6,
Blue,0,1,
Blue,1,3,
Blue,2,3,
Red,3,6,
Red,14,7,
Blue,8,1,
Blue,0,1,
Red,0,0,
Red,2,2,
Blue,2,6,
Red,19,7,
Red,4,8,
Draw,16,8,
Red,19,12,
Red,0,2,
Red,3,3,
Red,9,5,
Blue,1,1,
Blue,0,4,
Blue,0,0,
Blue,3,6,
Blue,12,9,
Red,5,4,
Blue,2,1,
Blue,1,0,
Blue,6,6,
Blue,0,9,
Red,5,5,
Red,8,9,
Blue,3,1,
Red,5,2,
Blue,2,1,
Blue,0,3,
Blue,4,1,
Red,0,2,
Red,1,1,
Blue,2,3,
Blue,0,0,
Red,3,1,
Blue,6,7,
Red,1,1,
Blue,5,5,
Red,1,1,
Red,0,0,
Red,0,3,
Blue,1,4,
Red,2,6,
Red,17,6,
Red,0,4,
Blue,7,9,
Blue,3,9,
Blue,9,8,
Red,2,3,
Red,0,0,
Blue,2,3,
Red,0,0,
Blue,1,3,
Blue,0,1,
Blue,0,9,
Red,1,1,
Red,0,1,
Red,5,9,
Red,3,4,
Red,2,10,
Blue,9,10,
Blue,8,7,
Blue,1,3,
Blue,11,12,
Red,4,8,
Red,13,11,
Red,4,12,
Red,2,3,
Blue,0,1,
Blue,0,1,
Blue,0,0,
Red,0,0,
Red,4,3,
Red,3,2,
Red,0,7,
Blue,2,1,
Blue,3,4,
Blue,2,4,
Blue,6,13,
Blue,14,2,
Blue,2,14,
Red,4,3,
Red,0,0,
Red,0,4,
Blue,0,0,
Red,2,1,
Red,1,1,
Red,6,7,
Red,1,0,
Blue,3,3,
Blue,7,9,
Blue,2,2,
Red,11,3,
Red,0,5,
Blue,1,3,
Red,0,8,
Red,1,1,
Blue,13,8,
Red,13,14,
Red,2,4,
Blue,1,3,
Blue,4,7,
Red,3,3,
Red,1,1,
Blue,0,9,
Blue,0,3,
Red,2,3,
Blue,4,1,
Red,4,1,
Blue,4,0,
Red,1,1,
Red,9,9,
Red,9,4,
Blue,1,3,
Red,1,1,
Blue,2,3,
Red,8,3,
Blue,0,0,
Red,9,18,
Blue,2,6,
Red,12,10,
Draw,13,3,
Blue,3,6,
Red,0,0,
Red,6,15,
Red,7,7,
Blue,2,0,
Blue,1,1,
Red,3,6,
Blue,2,3,
Red,7,11,
Blue,2,5,
Red,2,9,
Red,5,7,
Red,4,7,
Red,16,7,
Blue,4,14,
Blue,2,10,
Red,0,1,
Blue,1,1,
Red,4,3,
Red,6,13,
Blue,2,5,
Blue,8,7,
Blue,0,1,
Red,2,3,
Blue,2,12,
Blue,4,4,
Red,9,1,
Red,1,4,
Red,2,1,
Blue,1,2,
Red,1,5,
Red,2,2,
Red,5,4,
Blue,8,9,
Red,2,6,
Red,2,1,
Blue,9,1,
Red,10,13,
Red,2,1,
Red,13,7,
Red,2,4,
Blue,0,1,
Blue,0,2,
Red,0,1,
Red,4,4,
Blue,2,4,
Blue,3,0,
Red,6,6,
Red,6,5,
Red,3,3,
Red,3,2,
Blue,2,5,
Red,2,2,
Red,1,2,
Red,0,0,
Draw,3,4,
Red,8,5,
Draw,8,14,
Red,8,12,
Red,5,8,
Blue,7,11,
Blue,4,5,
Red,0,5,
Red,6,5,
Blue,2,8,
Blue,1,4,
Blue,0,1,
Blue,0,1,
Blue,5,14,
Red,1,8,
Blue,2,1,
Red,2,1,
Blue,11,4,
Red,8,6,
Red,7,6,
Red,0,0,
Red,1,1,
Red,0,0,
Red,9,8,
Blue,0,5,
Red,7,4,
Blue,2,2,
Red,0,4,
Blue,5,4,
Red,3,12,
Blue,5,1,
Red,1,1,
Red,1,0,
Red,11,6,
Red,2,8,
Blue,3,3,
Red,17,12,
Red,2,5,
Red,7,16,
Blue,1,3,
Blue,2,11,
Red,1,0,
Red,4,5,
Red,1,6,
Red,1,5,
Blue,5,6,
Blue,0,3,
Draw,1,1,
Blue,0,7,
Blue,2,1,
Blue,3,9,
Red,2,0,
Red,2,3,
Blue,0,0,
Draw,1,2,
Blue,2,7,
Blue,0,2,
Blue,3,0,
Blue,6,13,
Red,4,2,
Blue,8,19,
Blue,4,14,
Red,4,7,
Red,1,1,
Red,0,0,
Red,0,3,
Blue,0,3,
Red,0,13,
Blue,5,5,
Red,2,2,
Red,1,2,
Blue,0,0,
Blue,7,7,
Red,12,5,
Blue,0,0,
Red,0,1,
Blue,0,0,
Blue,0,0,
Red,2,12,
Blue,3,5,
Red,10,9,
Red,6,6,
Blue,11,12,
Blue,3,10,
Red,1,3,
Blue,5,5,
Draw,8,5,
Blue,0,2,
Blue,1,4,
Red,2,5,
Blue,0,2,
Blue,1,2,
Blue,0,10,
Blue,5,3,
Blue,2,3,
Red,5,9,
Red,2,1,
Red,8,4,
Red,0,2,
Red,2,0,
Blue,0,1,
Red,13,18,
Red,3,8,
Blue,0,3,
Red,6,12,
Blue,0,3,
Blue,3,6,
Red,3,4,
Blue,7,3,
Blue,0,4,
Blue,4,3,
Blue,0,7,
Blue,6,3,
Red,4,1,
Red,3,3,
Red,0,2,
Red,2,5,
Red,0,4,
Red,2,7,
Red,0,1,
Blue,0,2,
Blue,1,1,
Red,0,2,
Blue,7,10,
Red,4,3,
Blue,1,1,
Red,2,12,
Blue,1,10,
Red,0,2,
Red,4,11,
Red,2,1,
Blue,0,1,
Blue,0,1,
Blue,1,0,
Red,1,0,
Red,9,4,
Blue,0,0,
Blue,3,6,
Red,3,1,
Blue,1,4,
Blue,0,1,
Red,7,7,
Blue,1,3,
Red,2,1,
Red,1,2,
Blue,0,1,
Blue,0,3,
Red,1,6,
Red,1,4,
Red,2,2,
Red,0,4,
Blue,3,4,
Blue,5,11,
Red,5,14,
Draw,0,3,
Red,6,2,
Red,4,2,
Red,2,6,
Blue,0,4,
Red,2,1,
Red,4,6,
Blue,3,11,
Red,5,7,
Blue,0,2,
Red,2,4,
Red,0,1,
Draw,8,6,
Red,9,7,
Red,12,14,
Blue,10,9,
Blue,7,9,
Blue,5,5,
Blue,8,3,
Red,1,3,
Red,3,6,
Red,13,16,
Red,1,2,
Blue,1,3,
Red,9,7,
Red,4,7,
Red,0,0,
Red,0,15,
Blue,11,14,
Red,5,6,
Red,1,0,
Blue,0,1,
Red,1,5,
Blue,1,1,
Blue,7,5,
Blue,6,14,
Red,5,3,
Blue,1,1,
Blue,4,7,
Red,9,19,
Red,2,3,
Red,4,11,
Blue,0,0,
Red,4,4,
Blue,1,2,
Red,1,1,
Red,0,1,
Blue,0,6,
Blue,4,1,
Blue,3,3,
Red,7,9,
Blue,1,2,
Red,4,12,
Blue,0,5,
Blue,0,1,
Red,2,7,
Red,1,8,
Blue,0,5,
Red,2,4,
Blue,4,4,
Red,3,8,
Red,0,1,
Red,4,10,
Red,4,4,
Red,0,6,
Red,1,2,
Red,3,3,
Blue,0,1,
Blue,8,12,
Blue,1,4,
Red,0,10,
Red,4,3,
Red,5,2,
Blue,6,5,
Red,4,4,
Blue,0,1,
Blue,1,1,
Draw,0,3,
Red,0,1,
Red,6,9,
Blue,1,0,
Blue,3,9,
Red,3,5,
Red,9,8,
Red,4,8,
Blue,3,1,
Red,0,2,
Red,3,3,
Red,5,13,
Red,1,2,
Red,0,1,
Red,2,2,
Red,2,3,
Blue,6,14,
Red,2,8,
Blue,0,2,
Red,3,5,
Red,1,4,
Blue,0,1,
Red,9,5,
Blue,15,13,
Blue,0,1,
Red,7,17,
Blue,0,1,
Red,2,3,
Red,0,3,
Red,8,4,
Blue,17,12,
Red,1,4,
Blue,0,3,
Red,8,12,
Red,0,7,
Blue,7,14,
Red,0,4,
Blue,1,2,
Blue,4,11,
Blue,0,1,
Red,1,6,
Red,9,10,
Red,4,4,
Red,4,8,
Red,0,2,
Red,7,4,
Blue,0,0,
Red,3,7,
Red,2,1,
Blue,2,3,
Blue,5,4,
Red,10,5,
Blue,9,13,
Red,0,2,
Blue,6,11,
Blue,5,12,
Red,0,4,
Draw,1,2,
Red,2,2,
Red,1,1,
Red,0,2,
Blue,3,3,
Blue,1,3,
Red,1,11,
Red,4,10,
Red,2,3,
Red,0,0,
Blue,0,1,
Red,2,4,
Red,3,9,
Red,0,10,
Blue,1,6,
Blue,8,6,
Blue,0,1,
Blue,3,2,
Blue,3,0,
Blue,0,0,
Red,0,6,
Red,1,1,
Red,14,7,
Red,9,11,
Blue,5,5,
Blue,3,2,
Red,7,8,
Red,16,6,
Draw,7,4,
Blue,6,12,
Blue,12,15,
Red,5,5,
Red,4,14,
Red,2,5,
Red,1,1,
Red,0,0,
Blue,0,11,
Red,0,0,
Red,10,2,
Blue,1,5,
Blue,5,4,
Red,1,5,
Blue,2,14,
Blue,1,2,
Blue,6,8,
Red,2,2,
Blue,2,10,
Red,0,3,
Red,0,4,
Red,1,4,
Red,1,2,
Red,1,1,
Blue,4,4,
Red,0,2,
Blue,2,3,
Blue,7,9,
Red,2,1,
Red,0,3,
Red,10,16,
Red,3,2,
Red,0,1,
Red,3,3,
Blue,0,2,
Red,1,3,
Blue,18,5,
Red,7,11,
Blue,4,1,
Red,12,2,
Red,5,6,
Red,3,8,
Red,9,4,
Red,4,11,
Draw,0,1,
Blue,0,1,
Blue,6,10,
Red,3,4,
Red,0,1,
Blue,3,6,
Blue,3,4,
Red,3,8,
Red,1,2,
Blue,3,6,
Blue,11,8,
Blue,11,2,
Red,0,5,
Red,1,3,
Blue,5,4,
Blue,0,0,
Red,12,4,
Red,3,9,
Red,5,7,
Red,2,0,
Blue,8,8,
Red,13,16,
Red,14,5,
Blue,2,4,
Red,2,7,
Draw,0,4,
Red,3,1,
Red,4,4,
Blue,10,3,
Blue,5,5,
Red,4,4,
Red,14,5,
Red,3,4,
Red,1,1,
Red,1,3,
Blue,0,3,
Red,3,5,
Blue,2,2,
Red,1,1,
Red,0,2,
Red,3,3,
Blue,10,5,
Red,1,1,
Red,2,4,
Red,2,1,
Red,7,15,
Red,4,11,
Red,9,6,
Blue,4,1,
Red,4,2,
Blue,4,5,
Blue,6,6,
Blue,3,3,
Blue,3,6,
Blue,1,1,
Red,3,2,
Red,0,6,
Red,3,6,
Red,14,7,
Red,6,6,
Blue,4,1,
Red,3,0,
Blue,1,4,
Red,12,5,
Blue,3,1,
Red,0,1,
Blue,11,6,
Red,0,1,
Red,0,4,
Red,0,0,
Blue,3,2,
Blue,0,0,
Red,16,6,
Blue,10,3,
Red,1,1,
Red,4,3,
Red,2,3,
Blue,0,5,
Red,1,2,
Blue,3,1,
Red,3,10,
Blue,2,2,
Red,0,2,
Red,2,2,
Blue,1,2,
Red,1,4,
Blue,13,7,
Blue,3,6,
Red,6,4,
Blue,4,3,
Blue,4,4,
Red,4,9,
Red,3,1,
Red,14,14,
Blue,0,1,
Red,1,1,
Red,1,2,
Blue,17,16,
Blue,2,2,
Red,2,1,
Red,10,4,
Red,1,0,
Blue,4,4,
Blue,3,5,
Red,0,0,
Blue,3,2,
Red,0,2,
Red,3,7,
Red,0,2,
Blue,0,2,
Red,3,5,
Red,3,15,
Blue,3,3,
Red,1,3,
Red,5,7,
Blue,0,2,
Blue,0,2,
Red,0,4,
Blue,6,12,
Red,3,9,
Red,0,1,
Red,2,5,
Red,1,6,
Red,3,10,
Red,6,7,
Blue,1,2,
Blue,3,3,
Blue,1,0,
Blue,1,2,
Red,9,1,
Blue,2,3,
Red,1,8,
Blue,3,4,
Red,13,11,
Blue,5,6,
Blue,2,7,
Blue,0,1,
Blue,1,3,
Red,1,5,
Draw,1,0,
Blue,0,4,
Blue,9,9,
Red,7,9,
Blue,8,10,
Red,9,8,
Blue,1,5,
Blue,3,8,
Red,2,3,
Red,6,2,
Red,0,1,
Red,0,2,
Red,0,1,
Red,0,0,
Blue,1,6,
Blue,0,6,
Red,1,4,
Blue,4,3,
Red,14,7,
Red,1,5,
Blue,1,0,
Red,7,11,
Red,2,10,
Blue,1,1,
Red,0,0,
Red,15,13,
Blue,0,1,
Red,6,8,
Blue,11,9,
Blue,3,3,
Blue,12,8,
Blue,4,11,
Blue,0,1,
Red,2,1,
Draw,1,10,
Red,7,9,
Red,0,0,
Red,3,3,
Red,0,2,
Blue,6,5,
Blue,6,7,
Blue,4,9,
Red,3,8,
Red,5,15,
Red,11,10,
Red,4,3,
Blue,1,4,
Red,0,5,
Blue,2,6,
Blue,0,0,
Red,0,2,
Blue,9,10,
Blue,9,12,
Red,9,4,
Red,8,13,
Blue,0,1,
Draw,1,2,
Blue,5,14,
Blue,3,3,
Blue,3,3,
Red,3,1,
Red,1,1,
Red,2,3,
Red,7,6,
Red,0,0,
Red,1,2,
Red,1,1,
Red,0,0,
Red,0,11,
Blue,1,2,
Red,6,10,
Red,5,1,
Red,0,0,
Blue,1,2,
Blue,1,1,
Blue,3,4,
Blue,2,5,
Red,6,9,
Red,14,6,
Red,2,4,
Blue,1,1,
Blue,2,1,
Blue,2,2,
Red,4,1,
Blue,3,5,
Red,2,5,
Blue,5,5,
Blue,5,10,
Red,1,2,
Blue,2,6,
Red,3,4,
Red,3,5,
Blue,0,1,
Red,1,1,
Blue,3,2,
Red,1,3,
Red,2,2,
Red,4,6,
Blue,3,3,
Blue,3,5,
Red,8,13,
Blue,3,16,
Blue,9,12,
Blue,3,3,
Red,1,1,
Blue,1,1,
Blue,2,1,
Red,2,4,
Red,1,2,
Draw,1,1,
Blue,1,4,
Blue,3,3,
Red,1,2,
Red,2,8,
Red,2,2,
Red,14,12,
Red,3,9,
Red,1,3,
Blue,2,6,
Blue,2,1,
Blue,3,3,
Red,8,5,
Red,1,0,
Blue,0,1,
Blue,3,7,
Red,1,3,
Blue,5,2,
Red,2,0,
Blue,4,4,
Red,7,5,
Red,3,4,
Red,5,7,
Draw,0,0,
Blue,1,0,
Red,2,9,
Red,4,10,
Red,1,2,
Blue,2,4,
Red,6,10,
Blue,2,1,
Blue,6,4,
Red,16,13,
Red,1,4,
Blue,1,1,
Blue,2,1,
Red,8,9,
Blue,0,9,
Blue,7,3,
Blue,3,5,
Red,6,8,
Red,5,8,
Red,1,2,
Red,0,0,
Red,3,0,
Blue,3,2,
Red,2,1,
Red,3,4,
Blue,3,2,
Red,1,4,
Blue,5,8,
Red,0,3,
Red,6,5,
Red,0,2,
Red,2,6,
Red,1,3,
Blue,0,1,
Red,8,14,
Red,3,5,
Red,5,9,
Red,4,2,
Red,0,1,
Red,4,6,
Blue,3,1,
Red,2,6,
Red,3,2,
Red,4,1,
Blue,0,3,
Red,2,9,
Red,4,11,
Red,7,13,
Blue,5,3,
Blue,4,3,
Red,8,7,
Blue,6,4,
Red,1,3,
Blue,2,6,
Red,0,2,
Blue,0,1,
Blue,0,5,
Red,1,1,
Red,0,1,
Red,2,1,
Blue,8,9,
Red,3,2,
Red,10,16,
Red,1,1,
Red,0,0,
Red,0,1,
Blue,0,4,
Red,2,4,
Red,1,2,
Red,1,3,
Red,1,3,
Blue,8,3,
Blue,5,4,
Red,2,1,
Red,3,15,
Red,1,5,
Blue,0,3,
Blue,2,2,
Red,4,0,
Red,1,3,
Red,4,5,
Red,4,2,
Blue,0,0,
Blue,5,9,
Blue,0,2,
Red,0,0,
Blue,0,0,
Red,0,2,
Blue,2,6,
Blue,5,8,
Red,6,12,
Red,2,4,
Red,9,10,
Blue,6,4,
Blue,2,10,
Blue,2,4,
Blue,10,7,
Blue,2,2,
Blue,0,1,
Red,1,1,
Blue,2,2,
Red,1,1,
Blue,5,14,
Red,1,2,
Red,0,2,
Red,0,1,
Red,1,3,
Blue,1,11,
Red,1,1,
Red,2,3,
Red,1,1,
Blue,0,2,
Blue,0,1,
Red,3,2,
Red,1,1,
Red,1,1,
Blue,0,1,
Blue,7,11,
Red,11,5,
Red,1,4,
Blue,2,1,
Red,1,1,
Blue,3,1,
Blue,7,9,
Red,5,3,
Blue,0,0,
Blue,0,9,
Red,2,9,
Red,9,4,
Red,3,5,
Blue,2,5,
Red,1,2,
Red,2,3,
Blue,0,2,
Red,3,3,
Red,3,1,
Draw,0,4,
Red,13,6,
Red,4,6,
Blue,7,9,
Blue,0,0,
Blue,2,3,
Red,13,8,
Blue,7,3,
Red,3,5,
Blue,4,10,
Blue,12,8,
Red,5,10,
Red,5,8,
Red,6,14,
Blue,2,9,
Red,1,2,
Blue,7,3,
Red,6,3,
Blue,0,1,
Blue,2,1,
Blue,0,2,
Red,3,8,
Red,8,12,
Red,1,1,
Red,2,1,
Blue,2,2,
Red,5,6,
Blue,3,2,
Blue,1,5,
Blue,4,8,
Blue,1,3,
Blue,1,2,
Red,0,0,
Blue,0,1,
Blue,0,1,
Red,4,9,
Red,4,7,
Red,0,5,
Red,9,15,
Blue,1,5,
Red,5,7,
Red,1,2,
Red,1,3,
Red,2,2,
Red,1,0,
Blue,4,13,
Red,6,4,
Red,3,5,
Blue,2,7,
Blue,3,14,
Blue,8,6,
Blue,2,2,
Blue,1,1,
Blue,0,1,
Blue,5,2,
Red,3,4,
Blue,0,1,
Red,1,3,
Blue,1,0,
Red,0,0,
Red,0,0,
Red,0,2,
Blue,0,5,
Blue,4,11,
Blue,1,1,
Blue,6,5,
Red,6,7,
Blue,0,9,
Red,2,4,
Red,4,11,
Red,2,8,
Blue,0,0,
Red,0,1,
Red,1,2,
Red,2,3,
Red,0,2,
Red,1,5,
Red,4,13,
Red,2,2,
Red,15,5,
Draw,1,1,
Red,12,11,
Blue,2,1,
Red,9,8,
Blue,1,7,
Blue,3,7,
Blue,12,5,
Blue,3,6,
Blue,0,3,
Red,15,8,
Blue,4,1,
Blue,2,8,
Red,16,7,
Red,2,4,
Blue,0,2,
Blue,0,2,
Red,1,1,
Red,0,2,
Blue,1,4,
Red,2,1,
Blue,1,6,
Blue,14,2,
Blue,2,3,
Blue,1,3,
Blue,7,9,
Blue,0,1,
Blue,0,1,
Red,1,0,
Blue,2,2,
Red,2,9,
Red,1,1,
Red,1,2,
Red,3,6,
Red,10,7,
Red,0,0,
Red,2,2,
Blue,3,9,
Blue,5,11,
Blue,12,3,
Red,5,4,
Blue,5,2,
Draw,7,16,
Red,9,9,
Red,2,2,
Red,2,6,
Red,0,1,
Red,0,3,
Blue,9,8,
Blue,0,1,
Blue,3,3,
Blue,2,7,
Blue,11,9,
Blue,2,3,
Red,1,2,
Red,2,1,
Blue,1,2,
Blue,15,4,
Red,11,4,
Red,9,13,
Blue,1,6,
Red,0,2,
Red,3,2,
Red,0,1,
Red,6,12,
Red,0,4,
Red,11,7,
Draw,5,3,
Blue,0,4,
Red,4,14,
Red,1,3,
Blue,1,7,
Red,3,7,
Red,0,4,
Red,9,13,
Blue,2,1,
Red,4,7,
Blue,0,1,
Red,4,1,
Blue,2,3,
Red,0,0,
Red,1,1,
Blue,3,0,
Blue,1,8,
Blue,8,11,
Blue,5,4,
Red,0,4,
Red,12,11,
Red,9,2,
Blue,1,1,
Blue,0,3,
Red,6,10,
Blue,0,1,
Red,2,0,
Draw,6,2,
Blue,1,3,
Blue,6,10,
Red,0,0,
Red,0,0,
Blue,0,0,
Red,0,0,
Red,0,0,
Red,0,0,
Red,1,2,
Red,3,6,
Red,1,4,
Blue,1,1,
Red,6,7,
Red,3,7,
Blue,9,11,
Red,0,1,
Red,1,2,
Blue,0,1,
Red,6,11,
Blue,1,3,
Red,3,7,
Blue,2,4,
Blue,8,4,
Red,1,9,
Red,1,2,
Red,0,0,
Blue,0,10,
Red,5,6,
Red,7,5,
Red,1,0,
Red,0,0,
Blue,4,8,
Blue,0,0,
Red,0,0,
Red,0,0,
Red,4,0,
Red,0,1,
Red,2,3,
Red,1,1,
Blue,4,6,
Red,0,0,
Red,15,2,
Red,4,3,
Blue,1,1,
Red,1,1,
Red,0,3,
Blue,0,2,
Blue,4,8,
Blue,1,1,
Blue,0,1,
Blue,5,1,
Blue,2,2,
Red,3,7,
Blue,8,5,
Red,0,1,
Blue,2,4,
Red,7,6,
Blue,0,1,
Red,0,1,
Blue,1,3,
Red,1,1,
Red,1,8,
Red,1,1,
Red,4,6,
Red,3,5,
Blue,0,1,
Blue,0,1,
Red,0,1,
Draw,0,1,
Red,0,2,
Red,1,1,
Blue,6,3,
Red,0,10,
Blue,10,4,
Red,0,2,
Blue,0,2,
Red,1,1,
Blue,3,8,
Red,2,1,
Red,2,4,
Red,0,11,
Blue,4,3,
Red,7,8,
Red,7,2,
Blue,4,7,
Red,1,4,
Blue,4,6,
Blue,1,2,
Red,1,2,
Red,3,1,
Red,7,4,
Red,6,1,
Blue,0,5,
Red,4,5,
Red,0,2,
Blue,1,1,
Blue,0,1,
Red,1,2,
Blue,11,2,
Red,2,5,
Red,2,14,
Red,3,1,
Blue,1,2,
Blue,2,5,
Red,0,4,
Red,2,4,
Red,4,10,
Red,2,3,
Red,6,5,
Red,2,7,
Red,2,3,
Red,3,3,
Blue,3,2,
Blue,2,1,
Blue,0,0,
Blue,1,5,
Red,0,6,
Red,0,0,
Red,7,5,
Red,0,5,
Blue,8,6,
Blue,2,9,
Red,1,0,
Red,0,1,
Red,2,4,
Red,0,1,
Blue,10,9,
Blue,0,0,
Red,0,1,
Blue,0,3,
Red,10,3,
Red,0,1,
Red,2,14,
Red,0,0,
Blue,1,0,
Blue,7,9,
Red,4,8,
Red,0,1,
Red,7,8,
Red,2,2,
Red,4,10,
Blue,0,5,
Red,0,1,
Blue,6,11,
Draw,0,0,
Red,12,8,
Red,4,8,
Blue,3,3,
Blue,3,5,
Blue,1,4,
Blue,0,0,
Blue,0,0,
Blue,0,5,
Red,2,3,
Red,0,1,
Red,0,3,
Red,4,2,
Red,1,0,
Blue,1,4,
Blue,1,1,
Red,1,0,
Red,1,2,
Red,0,9,
Blue,0,1,
Red,13,10,
Red,7,7,
Red,1,4,
Red,0,13,
Blue,2,3,
Red,0,0,
Blue,1,3,
Blue,0,0,
Blue,2,2,
Blue,0,0,
Red,12,10,
Blue,1,3,
Red,5,6,
Blue,0,5,
Red,1,1,
Red,13,7,
Red,3,3,
Red,3,2,
Blue,0,1,
Blue,0,2,
Red,10,5,
Red,0,0,
Red,3,3,
Red,1,4,
Red,2,3,
Red,0,0,
Red,0,1,
Red,1,3,
Blue,2,3,
Blue,10,5,
Blue,5,3,
Red,0,2,
Red,0,1,
Red,3,7,
Red,3,7,
Red,1,9,
Red,6,10,
Red,3,3,
Red,0,0,
Red,3,4,
Blue,1,1,
Blue,0,3,
Blue,0,0,
Red,3,4,
Red,3,8,
Blue,1,10,
Red,7,13,
Blue,1,0,
Blue,1,1,
Blue,3,4,
Red,2,9,
Red,0,3,
Blue,0,5,
Blue,3,4,
Red,4,5,
Blue,1,3,
Blue,0,0,
Red,0,12,
Blue,0,0,
Red,1,2,
Red,0,0,
Red,1,1,
Blue,8,6,
Red,0,0,
Blue,4,3,
Blue,1,3,
Blue,1,8,
Red,0,0,
Red,1,1,
Blue,1,1,
Blue,0,0,
Red,4,3,
Red,7,3,
Red,1,4,
Red,3,6,
Blue,1,3,
Blue,5,7,
Red,8,7,
Blue,1,3,
Blue,1,3,
Red,0,2,
Red,2,2,
Red,4,11,
Red,0,2,
Blue,4,3,
Red,1,6,
Red,0,1,
Red,1,5,
Red,5,8,
Blue,1,1,
Blue,1,3,
Blue,8,4,
Red,1,3,
Red,2,6,
Red,5,13,
Blue,7,8,
Red,1,4,
Blue,1,1,
Red,8,1,
Red,0,12,
Red,4,6,
Red,0,0,
Red,5,11,
Red,7,5,
Red,7,9,
Red,0,2,
Blue,5,9,
Blue,3,7,
Red,1,0,
Red,0,1,
Red,0,0,
Red,0,2,
Red,0,2,
Red,0,0,
Red,4,6,
Blue,2,14,
Blue,0,0,
Red,3,7,
Red,0,0,
Blue,1,9,
Red,2,4,
Red,0,7,
Red,0,0,
Red,1,4,
Red,1,1,
Red,1,10,
Red,1,7,
Draw,2,4,
Blue,6,5,
Blue,3,6,
Blue,7,3,
Draw,3,1,
Blue,0,3,
Red,1,3,
Red,3,1,
Red,5,3,
Blue,6,6,
Red,1,1,
Red,0,1,
Blue,2,6,
Red,1,2,
Red,9,2,
Red,7,10,
Red,3,5,
Blue,1,1,
Blue,4,13,
Blue,2,4,
Blue,0,1,
Blue,1,0,
Blue,1,2,
Blue,0,3,
Blue,0,1,
Red,3,7,
Red,0,3,
Red,1,2,
Blue,0,4,
Blue,0,1,
Red,12,6,
Draw,1,1,
Red,4,2,
Red,7,9,
Blue,2,2,
Red,3,6,
Blue,0,0,
Red,0,2,
Blue,3,2,
Red,0,5,
Red,12,6,
Red,4,8,
Red,0,2,
Red,1,2,
Blue,2,2,
Red,1,1,
Red,0,0,
Red,1,12,
Blue,1,1,
Red,1,2,
Red,0,3,
Red,1,4,
Red,6,2,
Blue,1,1,
Red,1,3,
Red,0,2,
Red,1,2,
Blue,0,0,
Red,6,6,
Red,0,5,
Blue,2,3,
Red,4,5,
Blue,2,4,
Blue,1,5,
Blue,1,14,
Red,1,3,
Red,0,2,
Red,0,2,
Blue,0,0,
Red,0,1,
Draw,1,2,
Red,4,2,
Red,11,4,
Red,1,8,
Red,3,7,
Blue,9,7,
Red,1,4,
Red,1,3,
Red,0,0,
Blue,0,0,
Red,5,0,
Blue,1,1,
Red,1,2,
Red,3,4,
Red,2,2,
Red,2,3,
Red,2,9,
Blue,6,1,
Red,0,0,
Blue,0,1,
Blue,0,4,
Red,0,0,
Red,2,0,
Red,0,1,
Blue,0,0,
Red,4,6,
Blue,0,12,
Blue,6,5,
Blue,5,13,
Red,16,6,
Red,0,1,
Red,1,11,
Draw,4,10,
Red,0,0,
Red,1,5,
Red,6,6,
Blue,2,5,
Blue,6,6,
Red,0,2,
Red,8,6,
Red,5,5,
Blue,0,3,
Red,5,9,
Red,0,1,
Red,3,8,
Blue,0,2,
Blue,1,3,
Blue,1,5,
Red,2,5,
Blue,1,2,
Red,4,8,
Draw,2,4,
Red,5,5,
Blue,0,0,
Red,1,2,
Blue,0,4,
Blue,11,9,
Blue,0,0,
Red,0,1,
Red,0,0,
Red,0,0,
Blue,1,15,
Red,10,18,
Red,7,13,
Blue,1,2,
Blue,8,4,
Blue,6,6,
Blue,6,8,
Red,7,7,
Blue,0,0,
Red,2,3,
Blue,0,1,
Blue,1,5,
Red,1,2,
Red,4,0,
Blue,8,3,
Red,6,12,
Blue,1,0,
Red,2,7,
Blue,1,1,
Red,3,0,
Blue,1,1,
Blue,2,1,
Red,5,1,
Red,5,4,
Red,1,1,
Blue,2,2,
Blue,1,3,
Blue,2,4,
Red,1,1,
Blue,0,6,
Blue,4,1,
Draw,0,10,
