winner,blue_wins,red_wins,Draw
Red,12,11,
Red,5,3,
Red,0,6,
Red,0,1,
Red,0,5,
Red,0,1,
Blue,2,0,
Blue,1,4,
Blue,1,0,
Blue,3,7,
Blue,1,1,
Red,5,6,
Red,10,17,
Red,0,2,
Red,0,1,
Blue,1,1,
Red,0,0,
Red,4,20,
Draw,2,0,
Blue,5,15,
Red,3,7,
Red,5,8,
Red,6,6,
Red,1,6,
Red,5,7,
Blue,4,5,
Blue,0,2,
Blue,4,3,
Red,0,1,
Red,2,0,
Red,1,8,
Red,0,3,
Red,2,1,
Blue,4,4,
Red,2,3,
Blue,5,5,
Red,1,1,
Blue,0,0,
Red,0,0,
Red,5,4,
Blue,3,6,
Red,1,10,
Blue,6,11,
Red,2,12,
Red,5,10,
Red,9,15,
Red,6,2,
Blue,0,1,
Blue,1,11,
Blue,5,2,
Blue,5,9,
Blue,3,2,
Draw,1,1,
Red,2,2,
Red,0,1,
Red,2,6,
Blue,11,9,
Red,1,3,
Red,1,1,
Blue,0,4,
Blue,2,7,
Red,1,2,
Red,14,5,
Red,7,6,
Blue,3,1,
Red,0,2,
Blue,8,5,
Blue,1,15,
Red,6,10,
Red,9,4,
Red,2,4,
Blue,0,14,
Red,0,0,
Red,7,3,
Red,12,7,
Blue,1,5,
Blue,13,8,
Red,0,17,
Blue,1,11,
Blue,8,3,
Red,3,2,
Blue,4,1,
Red,0,2,
Red,5,6,
Red,23,9,
Red,11,7,
Blue,4,15,
Blue,4,15,
Red,4,9,
Red,5,9,
Red,6,10,
Red,1,2,
Red,10,3,
Red,3,3,
Red,6,2,
Blue,4,9,
Red,3,5,
Red,2,7,
Blue,7,3,
Blue,10,22,
Blue,16,11,
Red,10,14,
Draw,6,11,
Blue,4,1,
Blue,1,1,
Red,5,11,
Red,9,14,
Red,5,2,
Red,9,7,
Red,10,4,
Red,1,1,
Red,1,1,
Red,0,1,
Red,2,0,
Red,1,5,
Red,3,9,
Red,1,4,
Blue,3,4,
Red,0,1,
Red,0,2,
Red,4,1,
Blue,0,0,
Blue,6,15,
Red,0,2,
Red,0,0,
Red,2,1,
Blue,0,0,
Red,0,3,
Red,2,2,
Blue,9,9,
Red,0,1,
Blue,4,5,
Blue,5,0,
Red,3,1,
Blue,3,2,
Red,1,8,
Blue,6,1,
Red,0,3,
Blue,3,1,
Red,1,0,
Blue,0,11,
Red,6,2,
Red,0,0,
Red,2,3,
Blue,6,2,
Red,1,18,
Blue,8,10,
Red,3,9,
Blue,6,20,
Red,0,4,
Blue,2,2,
Blue,0,2,
Red,0,3,
Red,6,7,
Blue,0,1,
Red,8,2,
Red,7,13,
Red,3,3,
Red,6,19,
Blue,4,6,
Blue,0,6,
Red,2,2,
Draw,0,0,
Blue,1,1,
Blue,0,0,
Red,15,7,
Red,2,2,
Red,0,0,
Blue,4,1,
Red,1,0,
Blue,9,18,
Red,1,2,
Red,14,6,
Red,4,5,
Blue,5,2,
Red,0,3,
Red,0,0,
Blue,7,9,
Blue,0,4,
Red,3,6,
Red,7,5,
Red,23,9,
Red,3,2,
Blue,3,8,
Red,0,3,
Red,3,7,
Red,3,0,
Red,4,1,
Blue,0,3,
Red,4,4,
Blue,5,17,
Red,1,1,
Red,0,0,
Red,2,5,
Red,1,2,
Blue,0,3,
Blue,0,1,
Red,4,5,
Red,3,1,
Red,0,0,
Red,2,3,
Red,6,4,
Blue,7,2,
Red,6,11,
Blue,7,17,
Red,11,5,
Red,10,10,
Red,10,4,
Blue,4,4,
Red,3,3,
Red,9,14,
Red,1,0,
Red,2,4,
Red,2,0,
Draw,5,2,
Blue,3,10,
Red,2,3,
Red,3,6,
Draw,4,4,
Blue,6,13,
Blue,10,15,
Red,0,0,
Red,10,0,
Red,1,2,
Red,0,0,
Red,5,1,
Blue,7,8,
Red,3,15,
Red,9,7,
Red,1,4,
Blue,0,0,
Draw,4,10,
Blue,0,2,
Blue,5,7,
Red,0,0,
Red,9,3,
Blue,0,0,
Red,5,13,
Red,2,4,
Red,1,0,
Blue,5,0,
Red,1,9,
Blue,11,0,
Blue,8,3,
Red,4,5,
Red,1,2,
Blue,0,0,
Blue,3,0,
Blue,2,3,
Blue,0,2,
Blue,1,0,
Red,6,10,
Red,10,9,
Red,15,11,
Red,5,5,
Red,3,9,
Blue,5,10,
Red,2,12,
Blue,3,12,
Blue,2,17,
Red,2,5,
Blue,3,3,
Red,2,2,
Red,0,1,
Blue,6,11,
Blue,1,6,
Red,2,5,
Blue,10,2,
Red,2,2,
Red,1,21,
Blue,0,4,
Blue,1,3,
Red,2,0,
Red,0,0,
Red,4,2,
Draw,0,2,
Blue,3,1,
Red,0,2,
Red,3,2,
Red,0,14,
Red,10,5,
Red,15,7,
Red,0,0,
Red,3,0,
Blue,0,2,
Blue,0,1,
Blue,0,8,
Red,4,2,
Blue,1,2,
Red,0,0,
Red,1,10,
